season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,mp,obpm,orb_pct,ows,per,stl_pct,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48,champion
2022,Haywood Highsmith,SF,25,MIA,8,0.0,3.9,0.4,0.9,0.429,0.4,0.6,0.6,0.0,0.3,0.0,0.643,0.0,0.0,,0.3,0.4,0.6,0.4,0.0,0.0,0.4,0.3,1.1,13.9,0.0,0.4,0.6,11.8,0.0,0.714,0.0,31.0,-0.2,7.3,0.0,8.3,0.0,30.0,9.5,0.643,14.4,0.0,0.0,0.044,False
2022,Tyler Herro,SG,22,MIA,15,0.0,25.4,4.9,12.1,0.409,1.1,4.7,0.229,3.9,7.4,0.523,0.453,1.7,1.8,0.926,0.5,3.4,3.9,2.8,0.6,0.4,1.8,1.4,12.6,18.5,1.7,-1.0,-0.5,16.3,0.5,0.387,0.149,381.0,-0.5,2.1,-0.3,12.6,1.2,12.3,9.0,0.49,25.7,0.1,0.2,0.03,False
2022,Willy Hernangómez,C,27,NOP,1,0.0,2.0,1.0,4.0,0.25,0.0,1.0,0.0,1.0,3.0,0.333,0.25,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,-47.7,-34.4,0.0,0.0,0.25,0.0,2.0,-13.3,100.0,0.0,13.0,0.0,0.0,59.0,0.25,86.1,0.0,0.0,-0.383,False
2022,Juancho Hernangómez,PF,26,UTA,6,0.0,9.3,0.8,3.0,0.278,0.7,2.0,0.333,0.2,1.0,0.167,0.389,0.0,0.0,,0.3,1.7,2.0,0.8,0.3,0.0,0.3,0.7,2.3,14.0,0.0,0.4,0.9,20.7,0.0,0.667,0.0,56.0,-0.5,4.2,-0.1,7.3,1.9,10.0,12.5,0.389,16.7,0.0,0.0,-0.026,False
2022,Jaxson Hayes,C,21,NOP,6,6.0,13.8,2.3,4.2,0.56,0.0,0.5,0.0,2.3,3.7,0.636,0.56,1.2,1.8,0.636,0.7,1.8,2.5,0.2,0.0,0.3,0.7,1.8,5.8,1.9,2.1,-4.9,-1.9,16.7,0.0,0.12,0.44,83.0,-3.0,5.3,0.1,11.9,0.0,11.8,10.7,0.586,17.5,-0.1,0.1,0.044,False
2022,Sam Hauser,SF,24,BOS,7,0.0,2.1,0.1,0.6,0.25,0.1,0.4,0.333,0.0,0.1,0.0,0.375,0.3,0.3,1.0,0.0,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,19.1,0.0,1.9,0.4,7.3,0.0,0.75,0.5,15.0,1.5,0.0,0.0,11.4,0.0,0.0,3.8,0.512,14.6,0.0,0.0,0.135,False
2022,Tobias Harris,PF,29,PHI,12,12.0,38.8,6.8,13.5,0.5,1.8,4.8,0.386,4.9,8.8,0.562,0.568,1.6,1.8,0.864,0.8,6.8,7.6,2.9,1.1,0.8,1.5,2.9,16.9,13.0,2.0,3.0,1.4,20.4,0.5,0.352,0.136,466.0,1.6,2.8,0.7,16.2,1.5,9.5,12.0,0.591,19.1,0.6,1.2,0.122,False
2022,James Harden,PG,32,PHI,12,12.0,39.9,5.3,13.2,0.405,2.3,6.3,0.368,3.0,6.8,0.439,0.494,5.6,6.3,0.893,0.9,4.8,5.7,8.6,0.8,0.7,4.2,2.4,18.6,34.8,1.5,1.9,-0.6,13.9,0.4,0.481,0.475,479.0,2.5,3.0,0.7,16.8,1.0,20.7,8.7,0.584,23.7,0.5,1.1,0.112,False
2022,Blake Griffin,C,32,BRK,2,0.0,12.5,1.0,3.5,0.286,1.0,2.5,0.4,0.0,1.0,0.0,0.429,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,1.5,4.0,21.7,3.9,3.9,1.0,10.5,0.0,0.714,0.286,25.0,2.9,10.4,0.1,15.5,2.0,11.3,10.4,0.508,16.3,0.0,0.1,0.099,False
2022,Jarrett Culver,SG,22,MEM,3,0.0,7.3,1.0,3.3,0.3,0.0,0.7,0.0,1.0,2.7,0.375,0.3,0.3,0.7,0.5,0.7,1.7,2.3,0.3,0.7,0.0,0.7,1.3,2.3,6.6,0.0,-11.5,0.8,25.4,0.0,0.2,0.2,22.0,-12.4,9.1,-0.1,3.6,4.3,15.5,16.8,0.322,24.0,-0.1,-0.1,-0.111,False
