player,season,fg3_per_g,fg3a_per_g,fg3_pct,champion
Joel Embiid,2019,1.1,3.5,0.308,False
Wayne Ellington,2019,1.8,5.5,0.318,False
Kevin Durant,2019,2.9,6.7,0.438,False
Jared Dudley,2019,0.5,2.3,0.222,False
Andre Drummond,2019,0.0,0.3,0.0,False
Spencer Dinwiddie,2019,1.8,4.8,0.375,False
DeMar DeRozan,2019,0.0,0.1,0.0,False
Ed Davis,2019,0.0,0.0,0.0,False
Stephen Curry,2019,4.2,11.1,0.377,False
Seth Curry,2019,1.3,3.3,0.404,False
Dante Cunningham,2019,0.4,0.4,1.0,False
Jae Crowder,2019,1.8,6.0,0.3,False
Torrey Craig,2019,1.2,2.6,0.472,False
DeMarcus Cousins,2019,0.4,1.5,0.25,False
Quinn Cook,2019,0.6,2.0,0.324,False
Pat Connaughton,2019,1.0,2.8,0.357,False
Darren Collison,2019,1.0,2.8,0.364,False
Zach Collins,2019,0.4,1.3,0.333,False
Gary Clark,2019,0.0,0.0,0.0,False
Wilson Chandler,2019,0.3,2.5,0.1,False
Michael Carter-Williams,2019,0.4,1.6,0.25,False
DeMarre Carroll,2019,1.4,4.8,0.292,False
Clint Capela,2019,0.0,0.0,0.0,False
Amir Johnson,2019,0.0,0.0,0.0,False
Thabo Sefolosha,2019,0.3,2.0,0.125,False
Damian Jones,2019,0.0,0.0,0.0,False
Zhaire Smith,2019,0.0,0.0,0.0,False
Marcus Smart,2019,0.5,5.5,0.091,False
Anfernee Simons,2019,0.0,0.4,0.0,False
Jonathon Simmons,2019,0.3,1.4,0.2,False
Ben Simmons,2019,0.0,0.0,0.0,False
Pascal Siakam,2019,1.2,4.3,0.279,True
Iman Shumpert,2019,1.0,2.8,0.364,False
Landry Shamet,2019,1.7,5.2,0.323,False
Cory Joseph,2019,1.0,2.3,0.444,False
Mike Scott,2019,1.2,3.4,0.353,False
Dennis Schröder,2019,1.2,4.0,0.3,False
Domantas Sabonis,2019,0.3,1.0,0.25,False
D'Angelo Russell,2019,2.4,7.4,0.324,False
Ricky Rubio,2019,0.8,4.0,0.2,False
Terry Rozier,2019,0.9,3.8,0.235,False
Terrence Ross,2019,2.4,7.0,0.343,False
Jerome Robinson,2019,0.6,1.2,0.5,False
Glenn Robinson III,2019,0.3,2.7,0.125,False
Austin Rivers,2019,1.6,3.5,0.457,False
J.J. Redick,2019,3.0,7.3,0.414,False
Norman Powell,2019,1.0,2.7,0.387,True
Quincy Pondexter,2019,0.0,0.2,0.0,False
Jakob Poeltl,2019,0.0,0.1,0.0,False
Mason Plumlee,2019,0.0,0.1,0.0,False
Ish Smith,2019,0.3,1.8,0.143,False
Tony Snell,2019,0.1,0.2,0.5,False
Chris Paul,2019,1.5,5.7,0.27,False
Edmond Sumner,2019,0.0,0.0,0.0,False
Thaddeus Young,2019,0.5,2.0,0.25,False
Guerschon Yabusele,2019,0.0,0.3,0.0,False
D.J. Wilson,2019,0.1,0.6,0.2,False
Robert Williams,2019,0.0,0.0,0.0,False
Lou Williams,2019,1.0,3.0,0.333,False
Derrick White,2019,0.7,2.4,0.294,False
Russell Westbrook,2019,2.2,6.8,0.324,False
Brad Wanamaker,2019,0.3,0.3,1.0,False
Tyrone Wallace,2019,0.0,0.0,0.0,False
Lonnie Walker IV,2019,0.0,0.2,0.0,False
Nikola Vučević,2019,0.6,2.6,0.231,False
Fred VanVleet,2019,1.6,4.1,0.388,True
Jarred Vanderbilt,2019,0.0,0.0,0.0,False
Ekpe Udoh,2019,0.0,0.0,0.0,False
Myles Turner,2019,0.8,3.5,0.214,False
Evan Turner,2019,0.1,0.1,1.0,False
P.J. Tucker,2019,2.4,5.2,0.456,False
Sindarius Thornwell,2019,0.3,0.8,0.333,False
Klay Thompson,2019,3.3,7.5,0.443,False
Khyri Thomas,2019,0.3,1.3,0.25,False
Daniel Theis,2019,0.0,0.3,0.0,False
Garrett Temple,2019,0.2,1.2,0.143,False
Jayson Tatum,2019,1.1,3.4,0.323,False
Theo Pinson,2019,1.0,2.3,0.429,False
Ivica Zubac,2019,0.0,0.0,0.0,False
Zaza Pachulia,2019,0.0,0.0,0.0,False
T.J. McConnell,2019,0.0,0.0,0.0,False
Patrick McCaw,2019,0.1,0.3,0.333,True
Wesley Matthews,2019,1.8,5.3,0.333,False
Jarell Martin,2019,0.7,2.3,0.286,False
Boban Marjanović,2019,0.0,0.3,0.0,False
Thon Maker,2019,0.0,3.0,0.0,False
Trey Lyles,2019,0.0,0.3,0.0,False
Kyle Lowry,2019,2.2,6.0,0.359,True
Brook Lopez,2019,1.5,5.0,0.293,False
Kevon Looney,2019,0.0,0.0,0.0,False
Shaun Livingston,2019,0.0,0.1,0.0,False
Damian Lillard,2019,3.7,9.9,0.373,False
Caris LeVert,2019,2.4,5.2,0.462,False
Jon Leuer,2019,0.0,0.0,0.0,False
Meyers Leonard,2019,1.3,3.0,0.424,False
Kawhi Leonard,2019,2.3,6.0,0.379,True
T.J. Leaf,2019,0.0,1.0,0.0,False
Jake Layman,2019,0.0,0.8,0.0,False
Skal Labissière,2019,0.0,0.7,0.0,False
Rodions Kurucs,2019,0.5,2.0,0.25,False
Kyle Korver,2019,0.5,1.5,0.333,False
Furkan Korkmaz,2019,0.8,2.0,0.375,False
Luke Kennard,2019,2.3,3.8,0.6,False
Semi Ojeleye,2019,0.5,0.8,0.6,False
CJ McCollum,2019,2.9,7.3,0.393,False
Jeremy Lin,2019,0.1,0.3,0.5,True
Doug McDermott,2019,0.0,2.3,0.0,False
Markieff Morris,2019,0.4,1.4,0.286,False
Alfonzo McKinnie,2019,0.5,1.5,0.313,False
Royce O'Neale,2019,1.6,4.6,0.348,False
Nerlens Noel,2019,0.0,0.0,0.0,False
Georges Niang,2019,0.8,2.6,0.308,False
Raul Neto,2019,0.0,0.3,0.0,False
Shabazz Napier,2019,1.0,1.7,0.6,False
Abdel Nader,2019,0.0,0.0,0.0,False
Jamal Murray,2019,2.0,5.9,0.337,False
Donatas Motiejūnas,2019,0.0,0.2,0.0,False
Monte Morris,2019,0.0,0.9,0.0,False
Džanan Musa,2019,0.0,0.5,0.0,False
Marcus Morris,2019,2.0,4.4,0.45,False
Paul Millsap,2019,0.9,2.7,0.316,False
Kyle O'Quinn,2019,0.0,0.0,0.0,False
Khris Middleton,2019,2.7,6.1,0.435,False
Malcolm Miller,2019,0.1,0.6,0.167,True
Patty Mills,2019,0.4,3.1,0.136,False
Jodie Meeks,2019,0.1,0.9,0.154,True
